name,NOM_ALPHA,iso
Afghanistan,Afghanistan,AFG
Afrique du Sud,Afrique du Sud,ZAF
Albanie,Albanie,ALB
Algérie,Algérie,DZA
Allemagne,Allemagne,DEU
Andorre,Andorre,AND
Angola,Angola,AGO
Antigua-et-Barbuda,Antigua-et-Barbuda,ATG
Arabie saoudite,Arabie saoudite,SAU
Argentine,Argentine,ARG
Arménie,Arménie,ARM
Australie,Australie,AUS
Autriche,Autriche,AUT
Azerbaïdjan,Azerbaïdjan,AZE
Bahamas,Bahamas,BHS
Bahreïn,Bahreïn,BHR
Bangladesh,Bangladesh,BGD
Barbade,Barbade,BRB
Belgique,Belgique,BEL
Bélize,Bélize,BLZ
Bénin,Bénin,BEN
Bhoutan,Bhoutan,BTN
Biélorussie,Biélorussie,BLR
Birmanie,Birmanie,MMR
Bolivie,Bolivie,BOL
Bosnie-Herzégovine,Bosnie-Herzégovine,BIH
Botswana,Botswana,BWA
Brésil,Brésil,BRA
Brunéi,Brunéi,BRN
Bulgarie,Bulgarie,BGR
Burkina,Burkina,BFA
Burundi,Burundi,BDI
Cambodge,Cambodge,KHM
Cameroun,Cameroun,CMR
Canada,Canada,CAN
Cap-Vert,Cap-Vert,CPV
Centrafrique,Centrafrique,CAF
Chili,Chili,CHL
Chine,Chine,CHN
Chypre,Chypre,CYP
Colombie,Colombie,COL
Comores,Comores,COM
Congo,Congo,COG
Congo (démocratique du),Congo (démocratique du),COD
Îles Cook,Cook (Îles),COK
Corée du Nord,Corée du Nord,PRK
Corée du Sud,Corée du Sud,KOR
Costa Rica,Costa Rica,CRI
Côte d'Ivoire,Côte d'Ivoire,CIV
Croatie,Croatie,HRV
Cuba,Cuba,CUB
Danemark,Danemark,DNK
Djibouti,Djibouti,DJI
Dominicaine (République),Dominicaine (République),DOM
Dominique,Dominique,DMA
Égypte,Égypte,EGY
Émirats arabes unis,Émirats arabes unis,ARE
Équateur,Équateur,ECU
Érythrée,Érythrée,ERI
Espagne,Espagne,ESP
Estonie,Estonie,EST
Eswatini,Eswatini,SWZ
États-Unis,États-Unis,USA
Éthiopie,Éthiopie,ETH
Fidji,Fidji,FJI
Finlande,Finlande,FIN
France,France,FRA
Gabon,Gabon,GAB
Gambie,Gambie,GMB
Géorgie,Géorgie,GEO
Ghana,Ghana,GHA
Grèce,Grèce,GRC
Grenade,Grenade,GRD
Guatémala,Guatémala,GTM
Guinée,Guinée,GIN
Guinée Équatoriale,Guinée Équatoriale,GNQ
Guinée-Bissau,Guinée-Bissau,GNB
Guyana,Guyana,GUY
Haïti,Haïti,HTI
Honduras,Honduras,HND
Hongrie,Hongrie,HUN
Inde,Inde,IND
Indonésie,Indonésie,IDN
Irak,Irak,IRQ
Iran,Iran,IRN
Irlande,Irlande,IRL
Islande,Islande,ISL
